date,host_gender,intro_female_mentions,intro_male_mentions,intro_female_stars,intro_male_stars,intro_both_stars,number_of_guests,g1_gender,g1_location,g1_topic,g1_time,g1_role,g1_questions,g1_interruptions,g2_gender,g2_location,g2_topic,g2_time,g2_role,g2_questions,g2_interruptions,g3_gender,g3_location,g3_topic,g3_time,g3_role,g3_questions,g3_interruptions,g4_gender,g4_location,g4_topic,g4_time,g4_role,g4_questions,g4_interruptions,g5_gender,g5_location,g5_topic,g5_time,g5_role,g5_questions,g5_interruptions,g6_gender,g6_location,g6_topic,g6_time,g6_role,g6_questions,g6_interruptions,number_of_reports,r1_author,r1_guests,r1_guests_women,r1_randos,r1_randos_women,r2_author,r2_guests,r2_guests_women,r2_randos,r2_randos_women,r3_author,r3_guests,r3_guests_women,r3_randos,r3_randos_women,r4_author,r4_guests,r4_guests_women,r4_randos,r4_randos_women,r5_author,r5_guests,r5_guests_women,r5_randos,r5_randos_women,r6_author,r6_guests,r6_guests_women,r6_randos,r6_randos_women,r7_author,r7_guests,r7_guests_women,r7_randos,r7_randos_women,r8_author,r8_guests,r8_guests_women,r8_randos,r8_randos_women,number_of_reports_with_mostly_one_person,r1_main_gender,r1_topic,r2_main_gender,r2_topic,r3_main_gender,r3_topic,r4_main_gender,r4_topic,r5_main_gender,r5_topic,r6_main_gender,r6_topic,r7_main_gender,r7_topic,r8_main_gender,r8_topic,number_of_corresponder_reports,cr1_gender,cr1_number_of_people,cr1_number_of_women,cr2_gender,cr2_number_of_people,cr2_number_of_women,cr3_gender,cr3_number_of_people,cr3_number_of_women,cr4_gender,cr4_number_of_people,cr4_number_of_women,cr5_gender,cr5_number_of_people,cr5_number_of_women
6/12/2020,moški,0.00,4.00,0.00,4.00,0.00,4.00,moški,studio,politika,4:45,strokovnjak,3,0,moški,studio,politika,4:02,strokovnjak,3,0,moški,studio,okolje,4:47,strokovnjak,3,0,moški,studio,okolje,2:05,strokovnjak,1,0,,,,,,,,,,,,,,,5,moški,11,5,0,0,ženska,3,2,3,1,ženska,1,0,1,0,ženska,4,1,0,0,moški,4,1,0,0,,,,,,,,,,,,,,,,0,,politika,,politika,,politika,,zdravje,,kultura,,,,,,,0,,,,,,,,,,,,,,,
6/15/2020,moški,0.00,1.00,0.00,1.00,0.00,3.00,ženska,studio,zdravje,3:25,strokovnjak,2,1,moški,studio,zdravje,4:02,nosilec funkcije,3,0,moški,studio,okolje,6:20,strokovnjak,5,0,,,,,,,,,,,,,,,,,,,,,,3,ženska,1,0,1,1,ženska,3,2,0,0,moški,4,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,zdravje,,zdravje,,okolje,,,,,,,,,,,1,ženska,2,1,,,,,,,,,,,,
6/16/2020,moški,1.00,5.00,1.00,2.00,0.00,3.00,moški,internet,okolje,3:43,nosilec funkcije,4,0,moški,internet,kultura,4:00,strokovnjak,5,0,ženska,internet,kultura,6:30,strokovnjak,5,0,,,,,,,,,,,,,,,,,,,,,,4,ženska,7,1,3,0,ženska,1,0,2,0,moški,6,2,2,1,moški,2,0,0,0,,,,,,,,,,,,,,,,,,,,,2,moški,politika,,okolje,,kultura,moški,kultura,,,,,,,,,1,moški,3,0,,,,,,,,,,,,
6/17/2020,ženska,1.00,2.00,1.00,0.00,0.00,2.00,ženska,internet,zdravje,5:50,strokovnjak,5,0,ženska,studio,kultura,6:00,strokovnjak,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,ženska,3,0,0,0,moški,3,3,2,1,ženska,3,1,0,0,ženska,1,0,2,0,,,,,,,,,,,,,,,,,,,,,0,,ekonomija,,politika,,kultura,,politika,,,,,,,,,1,ženska,3,3,,,,,,,,,,,,
6/18/2020,ženska,0.00,4.00,0.00,3.00,0.00,3.00,moški,studio,zdravje,9:41,strokovnjak,12,3,moški,studio,politika,5:07,strokovnjak,5,2,moški,studio,politika,6:03,drugo,4,2,,,,,,,,,,,,,,,,,,,,,,5,ženska,0,0,1,0,ženska,1,0,0,0,moški,4,0,1,0,ženska,2,0,2,0,moški,5,0,0,0,,,,,,,,,,,,,,,,1,,zdravje,moški,okolje,,politika,,politika,,šport,,,,,,,1,moški,0,0,,,,,,,,,,,,
6/19/2020,ženska,0.00,3.00,0.00,1.00,0.00,3.00,moški,studio,politika,4:20,analitik/komentator,6,0,moški,studio,politika,4:10,analitik/komentator,5,0,moški,studio,politika,8:25,nosilec funkcije,10,2,,,,,,,,,,,,,,,,,,,,,,2,ženska,7,1,0,0,moški,0,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,zdravje,moški,politika,,,,,,,,,,,,,2,moški,0,0,moški,2,0,,,,,,,,,
6/22/2020,ženska,1.00,2.00,1.00,1.00,0.00,1.00,ženska,internet,ekonomija,5:18,strokovnjak,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,ženska,3,1,0,0,ženska,1,1,4,2,moški,0,0,2,1,moški,0,0,2,1,moški,3,1,1,0,moški,2,1,0,0,,,,,,,,,,,0,,zdravje,,ekonomija,,ekonomija,,politika,,politika,,kultura,,,,,1,moški,3,0,,,,,,,,,,,,
6/23/2020,ženska,1.00,1.00,1.00,0.00,0.00,3.00,moški,internet,zdravje,7:15,strokovnjak,5,0,ženska,studio,zdravje,7:23,nosilec funkcije,5,3,ženska,internet,kultura,4:15,drugo,6,0,,,,,,,,,,,,,,,,,,,,,,3,ženska,0,0,6,1,moški,1,0,1,0,ženska,2,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,zdravje,,zdravje,,zdravje,,,,,,,,,,,0,,,,,,,,,,,,,,,
6/24/2020,ženska,0.00,3.00,0.00,2.00,0.00,2.00,moški,internet,zdravje,9:40,nosilec funkcije,5,0,moški,internet,ekonomija,5:02,nosilec funkcije,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,ženska,1,0,2,1,moški,6,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,zdravje,,kultura,,,,,,,,,,,,,1,moški,12,1,,,,,,,,,,,,
6/26/2020,ženska,0.00,2.00,0.00,2.00,0.00,2.00,moški,internet,politika,8:43,nosilec funkcije,5,1,moški,internet,ekonomija,6:53,nosilec funkcije,5,0,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,6,ženska,2,2,1,0,ženska,4,3,1,0,ženska,5,1,2,0,ženska,4,2,1,0,moški,2,0,3,1,ženska,4,0,0,0,,,,,,,,,,,0,,zdravje,,politika,,politika,,okolje,,politika,,politika,,,,,0,,,,,,,,,,,,,,,
