date,host_gender,intro_female_mentions,intro_male_mentions,intro_female_stars,intro_male_stars,intro_both_stars,number_of_guests,g1_gender,g1_location,g1_topic,g1_time,g1_role,g1_questions,g1_interruptions,g2_gender,g2_location,g2_topic,g2_time,g2_role,g2_questions,g2_interruptions,g3_gender,g3_location,g3_topic,g3_time,g3_role,g3_questions,g3_interruptions,g4_gender,g4_location,g4_topic,g4_time,g4_role,g4_questions,g4_interruptions,g5_gender,g5_location,g5_topic,g5_time,g5_role,g5_questions,g5_interruptions,g6_gender,g6_location,g6_topic,g6_time,g6_role,g6_questions,g6_interruptions,number_of_reports,r1_author,r1_guests,r1_guests_women,r1_randos,r1_randos_women,r2_author,r2_guests,r2_guests_women,r2_randos,r2_randos_women,r3_author,r3_guests,r3_guests_women,r3_randos,r3_randos_women,r4_author,r4_guests,r4_guests_women,r4_randos,r4_randos_women,r5_author,r5_guests,r5_guests_women,r5_randos,r5_randos_women,r6_author,r6_guests,r6_guests_women,r6_randos,r6_randos_women,r7_author,r7_guests,r7_guests_women,r7_randos,r7_randos_women,r8_author,r8_guests,r8_guests_women,r8_randos,r8_randos_women,number_of_reports_with_mostly_one_person,r1_main_gender,r1_topic,r2_main_gender,r2_topic,r3_main_gender,r3_topic,r4_main_gender,r4_topic,r5_main_gender,r5_topic,r6_main_gender,r6_topic,r7_main_gender,r7_topic,r8_main_gender,r8_topic,number_of_corresponder_reports,cr1_gender,cr1_number_of_people,cr1_number_of_women,cr2_gender,cr2_number_of_people,cr2_number_of_women,cr3_gender,cr3_number_of_people,cr3_number_of_women,cr4_gender,cr4_number_of_people,cr4_number_of_women,cr5_gender,cr5_number_of_people,cr5_number_of_women
3/12/2020,ženska,2.00,6.00,0.00,2.00,1.00,2.00,moški,studio,zdravje,5:30,strokovnjak,6,1,moški,studio,zdravje,10:25,nosilec funkcije,14,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,moški,0,0,3,1,ženska,0,0,6,3,ženska,0,0,6,1,ženska,0,0,2,2,,,,,,,,,,,,,,,,,,,,,1,,zdravje,,zdravje,,politika,ženska,politika,,,,,,,,,1,moški,4,1,,,,,,,,,,,,
3/13/2020,ženska,1.00,3.00,0.00,0.00,1.00,3.00,ženska,studio,zdravje,3:50,strokovnjak,4,2,moški,studio,zdravje,4:18,strokovnjak,7,2,moški,studio,zdravje,8:07,strokovnjak,7,4,,,,,,,,,,,,,,,,,,,,,,6,ženska,0,0,1,0,ženska,0,0,11,2,ženska,0,0,5,3,moški,4,1,0,0,ženska,1,0,1,1,moški,0,0,4,2,,,,,,,,,,,1,moški,politika,,politika,,zdravje,,ekonomija,,ekonomija,,zdravje,,,,,2,ženska,3,1,moški,8,1,,,,,,,,,
3/16/2020,moški,2.00,2.00,1.00,1.00,1.00,4.00,moški,studio,politika,4:38,nosilec funkcije,6,1,moški,studio,ekonomija,6:15,nosilec funkcije,5,1,moški,internet,ekonomija,2:10,drugo,2,0,ženska,internet,zdravje,2:44,strokovnjak,2,0,,,,,,,,,,,,,,,3,ženska,7,2,1,1,moški,1,1,2,0,moški,0,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,ekonomija,,ekonomija,,politika,,,,,,,,,,,1,ženska,1,1,,,,,,,,,,,,
3/17/2020,moški,2.00,3.00,1.00,2.00,1.00,3.00,moški,studio,zdravje,5:30,nosilec funkcije,4,1,ženska,studio,zdravje,9:20,strokovnjak,10,1,moški,internet,kultura,3:32,drugo,5,0,,,,,,,,,,,,,,,,,,,,,,5,ženska,0,0,8,0,ženska,1,0,0,0,ženska,4,1,4,2,ženska,0,0,3,0,ženska,2,1,1,0,,,,,,,,,,,,,,,,1,,politika,moški,ekonomija,,zdravje,,ekonomija,,politika,,,,,,,,,,,,,,,,,,,,,,
3/18/2020,ženska,0.00,4.00,0.00,2.00,0.00,6.00,moški,internet,ekonomija,2:16,drugo,3,0,moški,studio,politika,6:08,nosilec funkcije,4,3,moški,studio,politika,8:00,nosilec funkcije,6,3,ženska,studio,ekonomija,4:00,strokovnjak,3,2,moški,internet,ekonomija,0.1416666667,strokovnjak,4,1,moški,internet,ekonomija,0.05694444444,strokovnjak,2,0,4,ženska,0,0,11,3,ženska,0,0,1,0,ženska,1,1,3,0,ženska,2,0,1,0,,,,,,,,,,,,,,,,,,,,,0,,ekonomija,,ekonomija,,ekonomija,,ekonomija,,,,,,,,,,,,,,,,,,,,,,,,
3/19/2020,ženska,0.00,2.00,0.00,2.00,0.00,2.00,moški,studio,ekonomija,8:25,nosilec funkcije,8,4,moški,studio,zdravje,4:13,strokovnjak,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,ženska,3,0,1,0,ženska,0,0,14,6,moški,0,0,6,2,ženska,3,1,1,1,,,,,,,,,,,,,,,,,,,,,,,zdravje,,politika,,zdravje,,zdravje,,,,,,,,,2,ženska,1,1,moški,5,0,,,,,,,,,
3/20/2020,ženska,0.00,1.00,0.00,0.00,0.00,3.00,moški,internet,drugo,4:18,analitik/komentator,4,0,moški,studio,zdravje,7:02,strokovnjak,7,1,ženska,internet,zdravje,6:22,strokovnjak,4,0,,,,,,,,,,,,,,,,,,,,,,3,ženska,0,0,2,0,ženska,2,1,0,0,ženska,2,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,politika,,zdravje,,šport,,,,,,,,,,,1,moški,1,0,,,,,,,,,,,,
3/23/2020,ženska,1.00,1.00,1.00,0.00,0.00,1.00,ženska,internet,kultura,3:38,drugo,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,ženska,5,2,1,0,ženska,1,0,0,0,ženska,0,0,6,2,ženska,1,0,4,2,ženska,1,0,7,2,,,,,,,,,,,,,,,,1,,zdravje,,zdravje,,zdravje,moški,okolje,,kultura,,,,,,,1,moški,6,0,,,,,,,,,,,,
3/24/2020,ženska,2.00,3.00,0.00,0.00,0.00,6.00,moški,internet,ekonomija,5:22,strokovnjak,1,0,ženska,internet,ekonomija,4:50,nosilec funkcije,3,0,ženska,studio,ekonomija,3:50,nosilec funkcije,4,0,moški,internet,ekonomija,2:50,nosilec funkcije,2,0,moški,internet,ekonomija,0.1840277778,nosilec funkcije,2,0,,,,,,,,5,ženska,6,1,2,0,ženska,4,2,5,2,ženska,0,0,3,0,moški,1,0,0,0,ženska,5,2,0,0,,,,,,,,,,,,,,,,1,,ekonomija,,ekonomija,,ekonomija,moški,zdravje,,zdravje,,,,,,,,,,,,,,,,,,,,,,
3/25/2020,ženska,2.00,2.00,0.00,1.00,0.00,2.00,ženska,internet,zdravje,4:27,drugo,4,0,moški,studio,politika,21:51,nosilec funkcije,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,ženska,2,1,4,0,ženska,1,0,4,1,moški,2,0,0,0,moški,6,2,0,0,,,,,,,,,,,,,,,,,,,,,0,,zdravje,,politika,,okolje,,kultura,,,,,,,,,,,,,,,,,,,,,,,,
3/26/2020,ženska,0.00,7.00,0.00,4.00,0.00,3.00,moški,studio,politika,6:11,nosilec funkcije,8,1,moški,studio,ekonomija,9:12,nosilec funkcije,7,3,moški,studio,zdravje,5:24,strokovnjak,6,3,,,,,,,,,,,,,,,,,,,,,,5,moški,3,1,4,0,ženska,2,2,4,0,moški,2,0,0,0,moški,4,0,0,0,moški,0,0,2,0,,,,,,,,,,,,,,,,0,,politika,,zdravje,,zdravje,,zdravje,,kultura,,,,,,,2,moški,3,1,moški,6,1,,,,,,,,,
3/27/2020,moški,2.00,3.00,2.00,3.00,0.00,3.00,moški,internet,zdravje,4:02,strokovnjak,4,0,moški,studio,ekonomija,4:41,analitik/komentator,4,0,ženska,studio,drugo,5:29,nosilec funkcije,7,0,moški,studio,kultura,4:07,analitik/komentator,3,0,,,,,,,,,,,,,,,4,ženska,0,0,4,2,ženska,1,0,0,0,ženska,1,0,7,2,moški,0,0,3,1,,,,,,,,,,,,,,,,,,,,,1,,ekonomija,,zdravje,,okolje,moški,kultura,,,,,,,,,2,ženska,0,0,moški,4,0,,,,,,,,,
3/30/2020,ženska,1.00,4.00,1.00,3.00,0.00,4.00,moški,internet,ekonomija,11:02,nosilec funkcije,6,0,moški,internet,ekonomija,2:22,nosilec funkcije,3,0,ženska,internet,zdravje,7:26,strokovnjak,4,0,moški,internet,zdravje,5:35,strokovnjak,6,0,,,,,,,,,,,,,,,4,ženska,5,0,0,0,ženska,0,0,1,0,moški,0,0,7,1,moški,4,3,0,0,,,,,,,,,,,,,,,,,,,,,0,,okolje,,zdravje,,zdravje,,okolje,,,,,,,,,1,moški,1,0,,,,,,,,,,,,
3/31/2020,ženska,1.00,2.00,1.00,2.00,0.00,3.00,moški,internet,politika,3:38,nosilec funkcije,2,0,moški,studio,ekonomija,5:36,strokovnjak,6,0,moški,internet,drugo,6:12,strokovnjak,8,0,,,,,,,,,,,,,,,,,,,,,,7,ženska,1,0,4,2,ženska,3,1,1,0,moški,0,0,3,1,moški,0,0,5,2,ženska,1,0,0,0,ženska,3,0,0,0,ženska,6,3,0,0,,,,,,0,,politika,,politika,,okolje,,zdravje,,zdravje,,drugo,,kultura,,,1,ženska,3,0,,,,,,,,,,,,
4/1/2020,moški,2.00,3.00,2.00,3.00,0.00,3.00,moški,internet,zdravje,7:13,nosilec funkcije,7,2,ženska,internet,kultura,6:39,nosilec funkcije,7,2,moški,internet,okolje,3:30,nosilec funkcije,4,0,,,,,,,,,,,,,,,,,,,,,,6,moški,5,5,0,0,ženska,0,0,9,2,ženska,2,0,0,0,ženska,1,1,0,0,ženska,3,1,0,0,ženska,2,1,0,0,,,,,,,,,,,1,,zdravje,,ekonomija,,ekonomija,ženska,kultura,,kultura,,okolje,,,,,,ženska,0,0,,,,,,,,,,,,
4/2/2020,moški,0.00,4.00,0.00,4.00,0.00,3.00,moški,internet,zdravje,9:19,nosilec funkcije,7,2,moški,internet,ekonomija,4:22,strokovnjak,4,0,moški,internet,šport,6:05,nosilec funkcije,6,1,,,,,,,,,,,,,,,,,,,,,,6,moški,2,0,0,0,ženska,0,0,1,0,ženska,7,0,1,0,moški,1,2,2,0,moški,2,0,0,0,ženska,2,2,0,0,,,,,,,,,,,0,,zdravje,,politika,,ekonomija,,zdravje,,ekonomija,,zdravje,,,,,,ženska,2,0,,,,,,,,,,,,
4/3/2020,ženska,0.00,0.00,0.00,0.00,0.00,2.00,ženska,internet,zdravje,8:44,strokovnjak,6,2,moški,internet,zdravje,6:53,drugo,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,ženska,2,1,1,0,moški,1,1,4,3,moški,1,1,0,0,moški,3,0,1,0,ženska,2,0,0,0,moški,2,0,0,0,,,,,,,,,,,2,,zdravje,,zdravje,,zdravje,,ekonomija,,kultura,,kultura,,,,,,ženska,2,0,,,,,,,,,,,,
4/6/2020,ženska,0.00,5.00,0.00,4.00,0.00,4.00,moški,internet,ekonomija,7:00,nosilec funkcije,4,0,moški,internet,zdravje,5:09,strokovnjak,5,1,moški,internet,zdravje,3:58,strokovnjak,4,1,moški,internet,kultura,7:18,drugo,4,0,,,,,,,,,,,,,,,5,ženska,2,1,0,0,ženska,4,0,0,0,ženska,0,0,5,1,moški,1,0,7,2,ženska,2,2,0,0,,,,,,,,,,,,,,,,1,,okolje,,zdravje,,zdravje,,okolje,ženska,kultura,,,,,,,,moški,1,0,,,,,,,,,,,,
4/7/2020,ženska,0.00,2.00,0.00,1.00,0.00,2.00,moški,internet,kultura,3:37,nosilec funkcije,4,0,moški,internet,politika,8:54,nosilec funkcije,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,ženska,0,0,1,0,ženska,1,1,2,0,ženska,0,0,6,3,ženska,5,1,1,1,ženska,0,0,5,0,,,,,,,,,,,,,,,,2,moški,politika,,zdravje,moški,zdravje,,ekonomija,,politika,,,,,,,,moški,2,1,,,,,,,,,,,,
4/8/2020,ženska,0.00,3.00,0.00,2.00,0.00,2.00,moški,internet,ekonomija,7:13,strokovnjak,4,1,moški,internet,drugo,8:23,strokovnjak,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,ženska,1,0,1,0,ženska,0,0,4,0,ženska,6,3,0,0,ženska,3,0,2,0,ženska,1,1,5,1,ženska,2,0,0,0,,,,,,,,,,,0,,ekonomija,,ekonomija,,ekonomija,,zdravje,,zdravje,,kultura,,,,,,moški,3,0,,,,,,,,,,,,
4/9/2020,moški,0.00,1.00,0.00,4.00,0.00,4.00,moški,internet,zdravje,8:45,strokovnjak,7,1,moški,internet,ekonomija,4:02,nosilec funkcije,3,1,moški,internet,ekonomija,3:10,nosilec funkcije,2,1,moški,internet,ekonomija,6:06,strokovnjak,4,0,,,,,,,,,,,,,,,5,ženska,1,0,8,1,ženska,3,1,0,0,ženska,3,2,9,1,moški,0,0,1,0,moški,0,0,1,0,,,,,,,,,,,,,,,,0,,okolje,,ekonomija,,politika,,ekonomija,,kultura,,,,,,,,moški,4,2,,,,,,,,,,,,
4/10/2020,moški,1.00,2.00,0.00,2.00,0.00,3.00,ženska,internet,zdravje,6:52,strokovnjak,4,0,moški,internet,ekonomija,10:01,nosilec funkcije,6,1,moški,internet,drugo,6:14,nosilec funkcije,7,0,,,,,,,,,,,,,,,,,,,,,,5,ženska,6,1,1,0,ženska,4,1,4,1,moški,3,1,3,1,moški,3,2,3,0,moški,0,0,3,0,,,,,,,,,,,,,,,,0,,zdravje,,ekonomija,,politika,,zdravje,,kultura,,,,,,,,ženska,1,0,,,,,,,,,,,,
4/14/2020,ženska,0.00,0.00,0.00,2.00,0.00,4.00,moški,internet,ekonomija,4:52,nosilec funkcije,3,1,moški,internet,ekonomija,4:10,strokovnjak,2,1,moški,internet,ekonomija,8:11,drugo,6,1,moški,internet,drugo,6:29,drugo,4,0,,,,,,,,,,,,,,,5,ženska,1,1,2,1,moški,0,0,5,2,ženska,3,2,1,1,ženska,0,0,2,0,ženska,0,0,12,4,,,,,,,,,,,,,,,,1,,zdravje,,zdravje,,ekonomija,,zdravje,,politika,,,,,,,,,,,,,,,,,,,,,,
4/15/2020,ženska,0.00,4.00,0.00,3.00,0.00,5.00,moški,internet,zdravje,10:29,nosilec funkcije,7,1,moški,internet,okolje,3:10,nosilec funkcije,3,0,moški,internet,okolje,2:56,drugo,3,0,moški,internet,drugo,5:09,nosilec funkcije,5,1,moški,internet,okolje,0.2458333333,strokovnjak,3,1,,,,,,,,5,ženska,3,2,0,0,ženska,0,0,1,1,ženska,2,0,1,1,ženska,2,1,4,0,ženska,0,0,10,0,,,,,,,,,,,,,,,,1,,zdravje,ženska,zdravje,,okolje,,okolje,,zdravje,,,,,,,,,,,,,,,,,,,,,,
4/16/2020,ženska,2.00,1.00,1.00,0.00,0.00,1.00,ženska,internet,zdravje,6:19,strokovnjak,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,ženska,1,1,4,2,moški,1,0,1,0,ženska,1,0,2,0,ženska,0,0,4,0,ženska,3,1,1,0,ženska,1,0,11,0,,,,,,,,,,,1,,zdravje,,ekonomija,,ekonomija,,ekonomija,,ekonomija,moški,drugo,,,,,1,moški,1,1,,,,,,,,,,,,
4/17/2020,ženska,1.00,2.00,1.00,2.00,0.00,5.00,moški,studio,drugo,6:06,nosilec funkcije,8,0,ženska,studio,drugo,1:59,analitik/komentator,3,0,moški,studio,drugo,4:49,analitik/komentator,2,0,moški,internet,ekonomija,4:02,analitik/komentator,4,0,ženska,studio,zdravje,0.2798611111,strokovnjak,4,0,,,,,,,,3,ženska,3,2,2,0,ženska,1,0,4,0,ženska,0,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,zdravje,,ekonomija,,zdravje,,,,,,,,,,,,,,,,,,,,,,,,,,
4/20/2020,ženska,2.00,1.00,2.00,1.00,0.00,4.00,ženska,studio,drugo,8:31,nosilec funkcije,6,5,moški,studio,drugo,1:42,strokovnjak,3,0,moški,internet,ekonomija,3:28,strokovnjak,4,0,moški,studio,drugo,6:37,nosilec funkcije,7,0,,,,,,,,,,,,,,,5,ženska,4,2,0,0,ženska,3,1,0,0,ženska,0,0,5,1,ženska,0,0,5,0,ženska,1,0,0,0,,,,,,,,,,,,,,,,1,,ekonomija,,ekonomija,moški,politika,,zdravje,,šport,,,,,,,,,,,,,,,,,,,,,,
4/21/2020,ženska,1.00,2.00,1.00,1.00,0.00,3.00,moški,studio,politika,2:01,nosilec funkcije,3,0,moški,internet,ekonomija,8:20,strokovnjak,8,0,ženska,studio,zdravje,3:49,strokovnjak,5,1,,,,,,,,,,,,,,,,,,,,,,3,ženska,0,0,6,1,moški,3,0,0,0,ženska,0,0,7,3,,,,,,,,,,,,,,,,,,,,,,,,,,1,,politika,,ekonomija,ženska,politika,,,,,,,,,,,1,ženski,3,0,,,,,,,,,,,,
4/22/2020,ženska,0.00,3.00,0.00,2.00,0.00,3.00,moški,internet,drugo,7:25,strokovnjak,6,0,ženska,studio,drugo,5:08,strokovnjak,2,0,moški,internet,drugo,4:39,nosilec funkcije,6,0,,,,,,,,,,,,,,,,,,,,,,5,ženska,0,0,2,0,ženska,3,2,0,0,ženska,4,2,0,0,ženska,0,0,2,1,ženska,4,3,0,0,,,,,,,,,,,,,,,,0,,ekonomija,,ekonomija,,zdravje,,zdravje,,kultura,,,,,,,1,ženska,1,0,,,,,,,,,,,,
4/23/2020,moški,1.00,3.00,1.00,3.00,0.00,3.00,moški,internet,drugo,5:08,strokovnjak,4,0,moški,internet,ekonomija,9:53,nosilec funkcije,7,0,ženska,studio,kultura,5:19,nosilec funkcije,5,0,,,,,,,,,,,,,,,,,,,,,,5,moški,8,0,0,0,ženska,3,0,1,0,ženska,0,0,15,3,ženska,1,0,1,0,ženska,3,0,1,0,,,,,,,,,,,,,,,,0,,ekonomija,,zdravje,,politika,,okolje,,kultura,,,,,,,1,moški,2,1,,,,,,,,,,,,
4/24/2020,moški,0.00,4.00,0.00,3.00,0.00,3.00,moški,studio,politika,8:58,nosilec funkcije,8,2,moški,internet,zdravje,6:01,strokovnjak,3,0,moški,studio,šport,4:16,drugo,3,1,,,,,,,,,,,,,,,,,,,,,,6,ženska,3,2,9,1,moški,2,1,2,0,moški,0,0,6,1,ženska,5,3,0,0,ženska,4,0,0,0,moški,1,0,11,0,,,,,,,,,,,0,,politika,,politika,,politika,,ekonomija,,zdravje,,šport,,,,,,,,,,,,,,,,,,,,
4/28/2020,ženska,1.00,2.00,1.00,2.00,0.00,3.00,moški,studio,drugo,10:56,nosilec funkcije,9,6,ženska,internet,zdravje,6:18,strokovnjak,4,0,moški,internet,drugo,3:20,strokovnjak,3,0,,,,,,,,,,,,,,,,,,,,,,6,ženska,4,3,0,0,ženska,0,0,5,2,moški,0,0,4,0,ženska,3,0,1,0,ženska,3,2,1,1,moški,2,0,0,0,,,,,,,,,,,0,,ekonomija,,politika,,ekonomija,,ekonomija,,ekonomija,,kultura,,,,,,,,,,,,,,,,,,,,
4/29/2020,ženska,1.00,1.00,1.00,1.00,0.00,2.00,ženska,internet,zdravje,7:53,strokovnjak,7,6,moški,internet,politika,7:22,nosilec funkcije,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,ženska,5,0,2,1,ženska,5,1,0,0,moški,0,0,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,0,,politika,,kultura,,zdravje,,,,,,,,,,,2,moški,1,1,ženska,0,0,,,,,,,,,
4/30/2020,moški,1.00,4.00,1.00,4.00,0.00,5.00,ženska,internet,zdravje,8:15,strokovnjak,6,1,moški,internet,ekonomija,3:23,nosilec funkcije,2,0,moški,internet,ekonomija,3:44,nosilec funkcije,3,1,moški,internet,zdravje,5:05,strokovnjak,4,0,moški,internet,ekonomija,0.1986111111,strokovnjak,5,0,,,,,,,,3,ženska,1,1,2,0,moški,0,0,6,1,moški,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,0,,ekonomija,,politika,,ekonomija,,,,,,,,,,,,,,,,,,,,,,,,,,
5/4/2020,ženska,0.00,2.00,0.00,2.00,0.00,3.00,moški,studio,zdravje,6:03,nosilec funkcije,10,1,moški,internet,politika,3:11,analitik/komentator,3,0,moški,internet,politika,2:31,analitik/komentator,3,0,,,,,,,,,,,,,,,,,,,,,,4,ženska,2,0,0,0,ženska,5,2,1,0,ženska,7,3,0,0,moški,3,2,1,0,,,,,,,,,,,,,,,,,,,,,2,,zdravje,moški,politika,,ekonomija,moški,politika,,,,,,,,,1,ženska,3,0,,,,,,,,,,,,
5/5/2020,ženska,1.00,5.00,0.00,4.00,1.00,3.00,moški,internet,zdravje,6:40,strokovnjak,4,0,moški,studio,politika,2:30,nosilec funkcije,3,,moški,studio,politika,4:52,nosilec funkcije,4,,,,,,,,,,,,,,,,,,,,,,,5,ženska,2,1,2,0,ženska,0,0,6,1,moški,1,0,3,1,moški,0,0,3,0,moški,3,2,0,0,,,,,,,,,,,,,,,,0,,zdravje,,politika,,zdravje,,politika,,kultura,,,,,,,1,moški,3,0,,,,,,,,,,,,
5/6/2020,ženska,1.00,4.00,0.00,1.00,1.00,3.00,moški,studio,zdravje,7:30,strokovnjak,7,0,ženska,studio,okolje,4:29,strokovnjak,4,0,moški,studio,okolje,6:31,nosilec funkcije,1,1,,,,,,,,,,,,,,,,,,,,,,5,ženska,2,1,1,0,ženska,0,0,4,0,ženska,5,1,0,0,ženska,2,1,0,0,moški,2,1,0,0,,,,,,,,,,,,,,,,1,,zdravje,moški,politika,,politika,,okolje,,ekonomija,,,,,,,,,,,,,,,,,,,,,,
5/7/2020,moški,1.00,4.00,0.00,3.00,1.00,5.00,moški,studio,politika,8:59,nosilec funkcije,6,6,moški,studio,drugo,3:23,strokovnjak,2,0,ženska,studio,drugo,4:16,strokovnjak,2,1,moški,studio,ekonomija,4:46,strokovnjak,3,0,moški,studio ,ekonomija,0.125,nosilec funkcije,3,0,,,,,,,,3,moški,0,0,7,2,ženska,3,2,0,0,ženska,2,1,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,politika,,kultura,,ekonomija,,,,,,,,,,,,,,,,,,,,,,,,,,
5/8/2020,moški,1.00,3.00,0.00,2.00,0.00,3.00,moški,internet,drugo,5:12,strokovnjak,2,0,moški,studio,šport,5:25,drugo,5,0,moški,internet,drugo,4:34,strokovnjak,4,0,,,,,,,,,,,,,,,,,,,,,,6,ženska,9,4,0,0,ženska,2,1,1,0,ženska,0,0,1,1,moški,5,0,0,0,ženska,2,1,2,1,ženska,1,0,1,0,,,,,,,,,,,1,,politika,,zdravje,,zdravje,,šport,ženska,politika,,,,,,,,,,,,,,,,,,,,,,
5/11/2020,ženska,0.00,3.00,0.00,2.00,0.00,4.00,moški,studio,politika,6:03,drugo,9,0,moški,studio,politika,3.3,analitik/komentator,3,0,moški,studio,politika,4:17,analitik/komentator,3,0,moški,studio,zdravje,5:25,strokovnjak,6,0,,,,,,,,,,,,,,,5,ženska,0,0,7,1,ženska,7,2,0,0,ženska,0,0,6,0,moški,0,0,2,2,ženska,0,0,2,1,,,,,,,,,,,,,,,,1,,ekonomija,,ekonomija,,politika,ženska,politika,,zdravje,,,,,,,,,,,,,,,,,,,,,,
5/12/2020,ženska,0.00,4.00,1.00,3.00,0.00,4.00,ženska,studio,politika,4:31,nosilec funkcije,4,0,moški,studio,politika,6:26,nosilec funkcije,5,5,moški,internet,drugo,4:26,analitik/komentator,3,0,moški,studio,drugo,5:42,strokovnjak,3,1,,,,,,,,,,,,,,,6,moški,1,0,3,2,ženska,0,0,5,3,ženska,3,1,2,0,ženska,0,0,3,2,moški,2,0,4,1,moški,1,0,0,0,,,,,,,,,,,4,ženska,politika,moški,politika,moški,politika,,zdravje,,ekonomija,moški,kultura,,,,,,,,,,,,,,,,,,,,
5/13/2020,ženska,1.00,4.00,0.00,4.00,0.00,5.00,moški,internet,drugo,3:55,nosilec funkcije,3,0,moški,studio,drugo,3:31,drugo,5,1,ženska,internet,zdravje,7:35,strokovnjak,5,0,moški,studio,kultura,4:24,drugo,2,3,moški,studio,kultura,0.1451388889,drugo,4,1,,,,,,,,4,ženska,0,0,4,3,ženska,3,1,2,0,moški,3,1,0,0,ženska,3,1,2,0,,,,,,,,,,,,,,,,,,,,,0,,ekonomija,,kultura,,kultura,,kultura,,,,,,,,,,,,,,,,,,,,,,,,
5/14/2020,ženska,0.00,1.00,0.00,0.00,0.00,2.00,ženska,studio,zdravje,6:30,strokovnjak,8,0,ženska,studio,politika,4:49,nosilec funkcije,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,ženska,3,1,2,0,ženska,4,0,5,2,moški,2,1,1,0,moški,0,0,5,2,ženska,3,2,1,0,,,,,,,,,,,,,,,,0,,ekonomija,,politika,,politika,,ekonomija,,politika,,kultura,,,,,1,ženska,2,0,,,,,,,,,,,,
5/15/2020,ženska,0.00,1.00,0.00,1.00,0.00,2.00,moški,studio,zdravje,10:26,strokovnjak,6,0,ženska,studio,kultura,2:42,drugo,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,ženska,5,3,1,1,moški,6,3,0,0,ženska,3,3,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,ekonomija,,politika,,kultura,,,,,,,,,,,5,ženska,0,0,moški,1,1,moški,4,2,moški,2,0,ženski,2,0
5/18/2020,ženska,2.00,2.00,2.00,2.00,0.00,2.00,moški,studio,ekonomija,4:38,strokovnjak,4,2,ženska,studio,drugo,6:34,nosilec funkcije,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,moški,2,0,2,1,ženska,9,5,0,0,ženska,0,0,5,1,moški,0,0,6,0,ženska,2,0,0,0,,,,,,,,,,,,,,,,1,,ekonomija,,zdravje,,zdravje,,zdravje,moški,kultura,,,,,,,1,ženska,4,0,,,,,,,,,,,,
5/19/2020,ženska,0.00,2.00,0.00,2.00,0.00,3.00,moški,internet,ekonomija,5:47,nosilec funkcije,3,0,moški,studio,ekonomija,3:34,strokovnjak,5,0,moški,studio,politika,6:52,nosilec funkcije,9,1,,,,,,,,,,,,,,,,,,,,,,4,ženska,4,2,2,0,ženska,0,0,8,1,moški,0,0,2,0,ženska,1,1,1,0,,,,,,,,,,,,,,,,,,,,,1,,ekonomija,,politika,,kultura,ženska,kultura,,,,,,,,,1,moški,1,0,,,,,,,,,,,,
5/20/2020,moški,1.00,2.00,1.00,1.00,0.00,2.00,ženska,studio,ekonomija,6:28,strokovnjak,5,0,moški,studio,politika,8:24,strokovnjak,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,moški,2,0,4,0,ženska,1,0,1,0,moški,0,0,7,2,ženska,1,0,2,1,,,,,,,,,,,,,,,,,,,,,0,,ekonomija,,politika,,zdravje,,ekonomija,,,,,,,,,,,,,,,,,,,,,,,,
5/21/2020,moški,0.00,5.00,0.00,4.00,0.00,5.00,moški,studio,drugo,4:26,strokovnjak,3,0,moški,studio,drugo,3:12,nosilec funkcije,3,0,moški,studio,drugo,4:07,analitik/komentator,3,0,moški,studio,drugo,3:06,analitik/komentator,3,0,moški,studio,politika,0.2527777778,analitik /komentator,3,0,,,,,,,,3,ženska,3,0,1,0,ženska,2,0,2,0,moški,0,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,ekonomija,,politika,,politika,,,,,,,,,,,,,,,,,,,,,,,,,,
